City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,20,AU,1566504361,69,-42.78,147.06,39.2,6.93
Chapais,90,CA,1566504362,72,49.78,-74.86,60.8,10.29
Dudinka,40,RU,1566504364,93,69.41,86.18,53.6,2.24
Sault Sainte Marie,40,CA,1566504365,45,46.49,-84.36,68.0,10.29
Arraial do Cabo,75,BR,1566504366,64,-22.97,-42.02,69.8,10.29
Ushuaia,75,AR,1566504367,75,-54.81,-68.31,41.0,8.05
Kariapatti,75,IN,1566504368,69,9.68,78.1,82.4,8.05
Yaan,97,NG,1566504370,89,7.38,8.57,74.78,5.84
Bluff,0,AU,1566504295,70,-23.58,149.07,51.2,5.48
Najran,20,SA,1566504372,18,17.54,44.22,87.8,6.93
Labytnangi,12,RU,1566504373,95,66.66,66.39,47.6,6.53
Cherskiy,0,RU,1566504259,65,68.75,161.3,49.4,5.77
Torbay,90,CA,1566504014,100,47.66,-52.73,62.6,14.99
Mumford,83,GH,1566504377,91,5.26,-0.76,74.24,5.99
Cayenne,0,GF,1566504318,62,4.94,-52.33,87.8,10.29
Georgetown,40,GY,1566503962,70,6.8,-58.16,87.8,16.11
Punta Arenas,40,CL,1566504241,75,-53.16,-70.91,46.4,12.75
Barcelona,20,ES,1566504296,65,41.38,2.18,81.0,5.82
Cape Town,0,ZA,1566504004,93,-33.93,18.42,60.01,9.17
Epe,0,DE,1566504384,67,52.18,7.04,69.01,1.12
Lazaro Cardenas,75,MX,1566504385,35,28.39,-105.62,86.0,10.29
Busselton,0,AU,1566504246,79,-33.64,115.35,48.0,26.93
Ponta do Sol,8,BR,1566504299,51,-20.63,-46.0,70.82,3.49
Saskylakh,69,RU,1566504241,91,71.97,114.09,44.72,1.86
Petatlan,75,MX,1566504390,62,17.52,-101.27,87.8,11.41
Codrington,0,AU,1566504313,87,-28.95,153.24,53.6,5.28
Atuona,5,PF,1566504250,73,-9.8,-139.03,79.64,17.87
Praia,40,BR,1566504291,53,-20.25,-43.81,77.0,13.87
Sao Filipe,6,CV,1566504325,76,14.9,-24.5,76.58,11.3
Ploemeur,0,FR,1566504396,63,47.73,-3.43,70.0,2.24
Yellowknife,90,CA,1566504251,100,62.45,-114.38,50.0,14.99
Saint-Pierre,0,FR,1566504398,59,48.95,4.24,64.4,6.93
Santa Marta,20,CO,1566504207,70,11.24,-74.21,89.6,8.05
Mataura,95,NZ,1566504259,94,-46.19,168.86,37.99,1.99
Merrill,20,US,1566504402,46,42.03,-121.6,73.0,5.82
Rikitea,55,PF,1566504240,85,-23.12,-134.97,74.24,19.66
Tasiilaq,75,GL,1566504265,74,65.61,-37.64,44.6,9.17
Lorengau,100,PG,1566504295,85,-2.02,147.27,79.46,11.34
Nikolskoye,0,RU,1566504330,67,59.7,30.79,60.01,4.47
Kloulklubed,40,PW,1566504408,94,7.04,134.26,77.0,8.21
Chiang Kham,40,TH,1566504409,100,19.53,100.3,75.2,4.7
Klaksvik,40,FO,1566504302,87,62.23,-6.59,53.6,6.93
Bridgetown,33,AU,1566504412,90,-33.96,116.14,48.0,1.99
Hirara,0,JP,1566504278,83,24.8,125.28,84.14,17.76
Takoradi,55,GH,1566504414,87,4.89,-1.75,74.6,6.06
Ribeira Grande,20,PT,1566504242,83,38.52,-28.7,75.2,4.7
Hobart,20,AU,1566504069,69,-42.88,147.33,39.2,6.93
Narsaq,40,GL,1566504263,57,60.91,-46.05,50.0,10.29
Rio Tercero,0,AR,1566504419,35,-32.17,-64.11,63.8,8.39
Khorixas,0,NA,1566504356,24,-20.37,14.96,67.04,4.5
Ocos,40,GT,1566504421,52,14.51,-92.19,91.4,6.93
Laguna,40,BZ,1566504286,74,16.17,-88.94,86.0,9.17
Doha,0,QA,1566504424,71,25.29,51.53,93.2,4.7
Butaritari,100,KI,1566504264,74,3.07,172.79,84.32,14.88
Hilo,40,US,1566504290,62,19.71,-155.08,84.99,5.82
Santa Cruz,37,BR,1566504136,55,-6.22,-36.02,79.1,16.2
Hithadhoo,100,MV,1566504195,67,-0.6,73.08,82.88,2.93
Coahuayana,100,MX,1566504256,74,18.62,-100.35,81.62,1.52
Saint-Philippe,90,CA,1566504273,47,45.36,-73.48,80.6,12.75
Hermanus,38,ZA,1566504279,95,-34.42,19.24,54.0,11.03
Vaini,98,IN,1566504260,88,15.34,74.49,76.04,1.07
Albany,75,US,1566504244,51,42.65,-73.75,82.99,11.41
Sept-Iles,75,CA,1566504435,88,50.2,-66.38,66.2,6.93
Batagay,100,RU,1566504437,79,67.65,134.64,54.26,2.37
Aksarka,10,RU,1566504438,94,66.56,67.8,51.56,8.84
Khatanga,12,RU,1566504254,88,71.98,102.47,48.32,5.5
Hun,0,BE,1566504440,52,50.34,4.87,68.0,2.24
Coswig,0,DE,1566504443,63,51.13,13.58,66.2,3.36
Santa Rosa,0,AR,1566504444,33,-36.62,-64.29,63.98,3.15
Mecca,30,SA,1566504445,51,21.43,39.83,85.58,5.53
Arman,100,RU,1566504446,83,59.7,150.17,60.74,1.92
Whitehorse,40,CA,1566504448,43,60.72,-135.06,55.4,9.17
Ambon,0,FR,1566504372,64,47.55,-2.56,70.0,4.7
Xinyu,0,CN,1566504450,81,27.8,114.93,75.86,0.38
Mittagong,0,AU,1566504451,64,-34.45,150.45,48.99,6.93
Atar,0,MR,1566504453,33,20.52,-13.05,96.02,12.66
Adrar,16,DZ,1566504454,30,27.87,-0.29,105.8,11.41
Lavrentiya,99,RU,1566504285,86,65.58,-170.99,44.54,8.57
Kavieng,100,PG,1566504250,84,-2.57,150.8,81.26,14.67
Jamestown,0,AU,1566504266,90,-33.21,138.6,40.94,6.69
Puerto Ayora,0,EC,1566504241,61,-0.74,-90.35,77.0,11.41
Avarua,0,CK,1566503970,78,-21.21,-159.78,75.2,16.11
Green River,1,US,1566504356,12,41.53,-109.47,84.0,11.41
Severodvinsk,75,RU,1566504462,93,64.56,39.82,55.4,4.47
Hualmay,20,PE,1566504088,90,-11.1,-77.61,58.94,8.43
Padang,90,ID,1566504297,83,-0.92,100.36,81.44,19.04
Faanui,40,PF,1566504267,77,-16.48,-151.75,78.02,14.61
Abu Dhabi,0,AE,1566504168,75,24.47,54.37,91.4,6.93
Chicama,63,PE,1566504468,82,-7.84,-79.15,62.6,11.41
Tuktoyaktuk,75,CA,1566504243,75,69.44,-133.03,42.8,5.82
Carnarvon,30,ZA,1566504265,23,-30.97,22.13,61.28,10.38
Seoul,1,KR,1566504384,94,37.57,126.98,75.2,1.12
Karratha,0,AU,1566504419,40,-20.74,116.85,60.2,6.87
Bambous Virieux,20,MU,1566504251,88,-20.34,57.76,69.01,5.82
Saldanha,39,PT,1566504267,22,41.42,-6.55,76.22,7.4
Carlsbad,0,CZ,1566504476,76,50.23,12.87,61.0,4.7
Cabo San Lucas,90,MX,1566504189,78,22.89,-109.91,84.0,13.87
Hofn,90,IS,1566504478,87,64.25,-15.21,53.6,4.7
Svetlaya,100,RU,1566504479,99,46.54,138.33,52.46,7.85
Riberalta,24,BO,1566504481,44,-11.0,-66.08,93.2,4.7
Rocha,37,UY,1566504393,83,-34.48,-54.34,47.42,1.57
Fare,2,PF,1566504483,78,-16.7,-151.02,78.02,13.31
Vao,87,EE,1566504290,92,59.1,26.19,53.54,7.16
Isabela,99,PH,1566504286,82,10.2,122.99,80.36,16.22
Avera,40,US,1566504266,46,33.19,-82.53,96.01,9.17
Samarai,100,PG,1566504358,91,-10.62,150.67,71.54,7.4
Kapaa,90,US,1566504244,88,22.08,-159.32,87.8,20.8
Longyearbyen,75,NO,1566504293,72,78.22,15.63,39.2,1.12
Ampanihy,0,MG,1566504491,73,-24.69,44.75,60.74,13.29
Port Alfred,66,ZA,1566504255,82,-33.59,26.89,64.99,3.0
Tiksi,97,RU,1566504262,98,71.64,128.87,44.36,3.91
Awjilah,0,LY,1566504496,59,29.14,21.3,77.84,15.73
Vilhena,20,BR,1566504264,32,-12.74,-60.15,93.2,9.17
Crotone,0,IT,1566504498,77,39.09,17.12,74.42,2.42
Mar del Plata,36,AR,1566504248,47,-46.43,-67.52,51.74,7.16
Nabire,100,ID,1566504381,99,-3.36,135.5,68.3,4.09
Madiun,0,ID,1566504501,83,-7.63,111.52,69.74,9.69
Bagn,98,NO,1566504503,73,60.82,9.55,46.0,5.01
Port Lincoln,0,AU,1566504422,77,-34.72,135.86,52.46,16.37
Neiafu,75,TO,1566504369,94,-18.65,-173.98,77.0,11.16
Fairbanks,1,US,1566504366,66,64.84,-147.72,54.0,3.36
Hamilton,75,CA,1566504292,49,43.26,-79.87,78.01,13.87
Vila Velha,20,BR,1566504398,54,-3.71,-38.6,84.2,11.41
Mahon,90,IE,1566504408,93,51.89,-8.4,64.0,8.05
Faya,0,SA,1566504245,83,18.39,42.45,73.4,5.82
Namatanai,100,PG,1566504275,90,-3.66,152.44,76.04,12.5
Vanimo,52,PG,1566504336,81,-2.67,141.3,79.28,10.49
Chokurdakh,100,RU,1566504276,83,70.62,147.9,48.32,6.06
Esperance,100,AU,1566504363,35,-33.86,121.89,57.2,9.17
Berlevag,75,NO,1566504315,93,70.86,29.09,48.2,23.04
Severo-Kurilsk,100,RU,1566504403,93,50.68,156.12,48.5,7.63
Husavik,0,CA,1566504357,42,50.56,-96.99,72.0,5.99
Qaqortoq,40,GL,1566504519,57,60.72,-46.03,50.0,10.29
Lebu,85,ET,1566504316,87,8.96,38.73,55.34,1.79
Stuttgart,0,DE,1566504249,68,48.78,9.18,70.0,1.12
Upernavik,18,GL,1566504266,62,72.79,-56.15,40.94,4.09
Castro,20,CL,1566504260,87,-42.48,-73.76,50.0,2.24
Ebnat-Kappel,0,CH,1566504525,93,47.26,9.12,64.0,2.48
Alofi,48,NU,1566504526,94,-19.06,-169.92,77.0,4.7
Dikson,100,RU,1566504280,82,73.51,80.55,46.16,12.3
Conceicao do Araguaia,60,BR,1566504491,30,-8.26,-49.26,90.44,0.94
Kontagora,100,NG,1566504530,95,10.4,5.47,72.26,2.66
Darab,0,IR,1566504531,21,28.75,54.55,60.38,5.44
Barrow,0,AR,1566504267,59,-38.31,-60.23,54.8,8.66
Kodiak,40,US,1566504336,69,39.95,-94.76,80.6,8.05
Bamboo,20,JM,1566504535,70,18.39,-77.27,87.8,12.75
Sangar,100,RU,1566504536,90,63.92,127.47,55.7,3.87
Haapiti,20,PF,1566504537,65,-17.57,-149.87,82.4,3.36
Tura,32,RU,1566504328,85,64.27,100.22,45.98,2.42
Otradnoye,0,RU,1566504540,67,59.77,30.8,60.01,4.47
Richards Bay,0,ZA,1566504306,77,-28.77,32.06,67.4,17.65
Soe,0,EE,1566504542,87,57.91,26.05,55.99,6.93
Ak-Dovurak,41,RU,1566504544,92,51.17,90.6,45.8,1.81
Satun,20,TH,1566504545,94,6.62,100.07,78.8,4.85
